"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",-9999,7292,13131,2920,"BPS  NoData",3182,"EVT  Open Water",917240
"2",-9999,7296,6,1,"BPS  NoData",3182,"EVT  Developed-Low Intensity",23306
"3",-9999,7301,417,93,"BPS  NoData",3182,"EVT  Hardwood",1284575
"4",-9999,7302,156,35,"BPS  NoData",3182,"EVT  Hardwood",1305569
"5",-9999,7755,1,0,"BPS  NoData",3182,"EVT  Agricultural",0
"6",-9999,9056,399,89,"BPS  NoData",3182,"EVT  Riparian",1961320
"7",-9999,9089,126,28,"BPS  NoData",3182,"EVT  Conifer",1429377
"8",-9999,9317,64,14,"BPS  NoData",3182,"EVT  Exotic Tree-Shrub",66455
"9",-9999,9817,10,2,"BPS  NoData",3182,"EVT  Exotic Herbaceous",196494
"10",11,7292,4111249,914321,"BPS  Open Water",914320,"EVT  Open Water",917240
"11",31,9101,1,0,"BPS  Barren-Rock/Sand/Clay",14,"EVT  Sparsely Vegetated",0
"12",31,9113,63,14,"BPS  Barren-Rock/Sand/Clay",14,"EVT  Sparsely Vegetated",14
"13",1588,7238,450,100,"BPS  Hardwood",389740,"EVT  Hardwood",2216
"14",1588,7239,2784,619,"BPS  Hardwood",389740,"EVT  Conifer-Hardwood",63284
"15",1588,7242,45,10,"BPS  Hardwood",389740,"EVT  Hardwood",276
"16",1588,7243,37,8,"BPS  Hardwood",389740,"EVT  Conifer-Hardwood",464
"17",1588,7272,301,67,"BPS  Hardwood",389740,"EVT  Riparian",2961
"18",1588,7295,1959,436,"BPS  Hardwood",389740,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",19963
"19",1588,7296,17660,3927,"BPS  Hardwood",389740,"EVT  Developed-Low Intensity",23306
"20",1588,7297,10543,2345,"BPS  Hardwood",389740,"EVT  Developed-Medium Intensity",14919
"21",1588,7298,4435,986,"BPS  Hardwood",389740,"EVT  Developed-High Intensity",7088
"22",1588,7299,72006,16014,"BPS  Hardwood",389740,"EVT  Developed-Roads",191646
"23",1588,7301,114594,25485,"BPS  Hardwood",389740,"EVT  Hardwood",1284575
"24",1588,7302,817700,181852,"BPS  Hardwood",389740,"EVT  Hardwood",1305569
"25",1588,7314,1,0,"BPS  Hardwood",389740,"EVT  Hardwood",15
"26",1588,7362,4692,1043,"BPS  Hardwood",389740,"EVT  Conifer",92268
"27",1588,7407,117,26,"BPS  Hardwood",389740,"EVT  Conifer",3414
"28",1588,7444,3644,810,"BPS  Hardwood",389740,"EVT  Riparian",16284
"29",1588,7481,269072,59840,"BPS  Hardwood",389740,"EVT  Riparian",1639840
"30",1588,7905,12298,2735,"BPS  Hardwood",389740,"EVT  Developed",12846
