"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13010_40",0.0120636,"Boreal Aspen-Birch Forest",1646,804,0,9.6991344
"2","All Fire","13020_40",0.0004724,"Laurentian-Acadian Northern Hardwoods Forest",1647,14,0,0.0066136
"3","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,389740,3.5,189.41364
"4","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1589,2,0,0.000972
"5","All Fire","13100_41_62",0.0748626,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,1962,0,146.8804212
"6","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1591,27923,0.2,60.9335706
"7","All Fire","13310_39_40_41",0.1790012,"Eastern Great Plains Tallgrass Aspen Parkland",1592,7979,0.1,1428.2505748
"8","All Fire","13310_39_40_41",0.1790012,"Eastern Great Plains Tallgrass Aspen Parkland",1649,442,0,79.1185304
"9","All Fire","13440_41",0.0120962,"Boreal Jack Pine-Black Spruce Forest",1593,754033,6.7,9120.9339746
"10","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2724,161155,1.4,4740.406556
"11","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1596,1652730,14.8,7746.014964
"12","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1650,53,0,0.2484004
"13","All Fire","13652_41",0.0019676,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1597,361484,3.2,711.2559184
"14","All Fire","13653_41",0.013212,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",1598,2567567,23,33922.695204
"15","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",1599,60,0,12.435864
"16","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",1652,30,0,6.217932
"17","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",1600,705,0,141.980937
"18","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1601,173,0,39.442097
"19","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",1602,263563,2.4,31158.681423
"20","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,119,0,34.8488644
