"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,4124380,"Open Water",0,0,255,0,0,1,917240,8.2
"2",13,57804,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,12855,0.1
"3",14,12749,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,2835,0
"4",15,37112,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,8254,0.1
"5",16,72351,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,16090,0.1
"6",17,40455,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,8997,0.1
"7",22,104797,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,23306,0.2
"8",23,67083,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,14919,0.1
"9",24,31872,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,7088,0.1
"10",25,861738,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,191646,1.7
"11",31,64,"Barren",191,191,191,0.74902,0.74902,0.74902,14,0
"12",32,89766,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,19963,0.2
"13",61,1,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,0,0
"14",63,28541,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,6347,0.1
"15",64,217350,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,48337,0.4
"16",65,104853,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,23319,0.2
"17",68,97232,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,21624,0.2
"18",82,1,"Cultivated Crops",255,255,120,1,1,0.470588,0,0
"19",101,2,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,0,0
"20",102,18,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,4,0
"21",103,13537,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,3011,0
"22",104,6687,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,1487,0
"23",105,48013,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,10678,0.1
"24",106,190542,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,42376,0.4
"25",107,447168,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,99448,0.9
"26",108,955446,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,212486,1.9
"27",109,856843,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,190557,1.7
"28",110,1104834,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,245709,2.2
"29",111,1688886,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,375599,3.4
"30",112,2782534,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,618821,5.5
"31",113,4417317,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,982388,8.8
"32",114,6309305,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,1403156,12.6
"33",115,7312167,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,1626187,14.5
"34",116,5887244,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,1309292,11.7
"35",117,3162899,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,703412,6.3
"36",118,2636250,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,586288,5.2
"37",119,455888,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,101387,0.9
"38",120,143004,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,31803,0.3
"39",121,65448,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,14555,0.1
"40",122,19176,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,4265,0
"41",123,3675,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,817,0
"42",124,1135,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,252,0
"43",203,169,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,38,0
"44",204,1520,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,338,0
"45",205,1563,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,348,0
"46",206,91302,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,20305,0.2
"47",207,80644,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,17935,0.2
"48",208,204344,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,45445,0.4
"49",209,111069,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,24701,0.2
"50",210,129055,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,28701,0.3
"51",211,95582,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,21257,0.2
"52",212,129167,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,28726,0.3
"53",213,130891,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,29109,0.3
"54",214,218827,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,48666,0.4
"55",215,230325,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,51223,0.5
"56",216,310058,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,68955,0.6
"57",217,244471,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,54369,0.5
"58",218,241438,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,53695,0.5
"59",219,134883,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,29997,0.3
"60",220,99963,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,22231,0.2
"61",221,47802,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,10631,0.1
"62",222,37544,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,8350,0.1
"63",223,23483,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,5222,0
"64",224,25667,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,5708,0.1
"65",225,14039,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,3122,0
"66",226,12319,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,2740,0
"67",227,5273,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1173,0
"68",228,5859,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,1303,0
"69",229,728,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,162,0
"70",230,750,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,167,0
"71",301,97497,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,21683,0.2
"72",302,97661,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,21719,0.2
"73",303,226573,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,50389,0.5
"74",304,17422,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,3875,0
"75",305,41271,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,9178,0.1
"76",306,212293,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,47213,0.4
"77",307,382311,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,85024,0.8
"78",308,601152,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,133693,1.2
"79",309,549321,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,122166,1.1
"80",310,954008,"Herb Height >= 1 meter",255,51,0,1,0.2,0,212166,1.9
